title,first_name,occupation,nationality,birth_year,age,article,url
gustave flaubert,gustave,novelist,French,1821,58,"gustave flaubert (;; 12 december 1821 -- 8 may 1880 ) was an influential french writer who was perhaps the leading exponent of literary realism of his country. he is known especially for his first published novel, `` madame bovary '' ( 1857 ), for his `` correspondence '', and for his scrupulous devotion to his style and aesthetics. the celebrated short story writer guy de maupassant was a protégé of flaubert.",https://en.wikipedia.org/wiki/index.php?curid=12307
bill l. harbert,bill,founder,American,1923,86,"bill lebold harbert ( july 21, 1923 -- june 27, 2010 ) was an american businessman and founder of the international construction firm b.l. harbert international. he was the brother of businessman john m. harbert.",https://en.wikipedia.org/wiki/index.php?curid=31227300
howard smith ( diplomat ),howard,officer,British,1919,76,"sir howard frank trayton smith, gcmg ( 15 october 1919 -- 7 may 1996 ) was a british diplomat.",https://en.wikipedia.org/wiki/index.php?curid=2854332
james grant duff,james,soldier,British,1789,69,"james grant duff ( 8 july 1789 in banff, aberdeenshire, scotland -- 23 september 1858 in fife, scotland ) was a british soldier and historian from scotland, who was active in british india.",https://en.wikipedia.org/wiki/index.php?curid=2740644
william morison,william,writer,Scottish,1843,93,"william morison ( 1843 -- 1937 ) was a scottish presbyterian minister, writer and biographer. he was born in moffat, dumfries and galloway. his father was alexander moffat, a master builder. and his mother was catherine campbell. he was educated at moffat academy, the university of edinburgh where he graduated m.a. in 1862, and at the united presbyterian college, edinburgh. he married anne primrose douglas on 24 march 1869. they had three daughters -- annie, catherine and helen. he died on 9 march 1937 at his home at corstorphine, edinburgh.",https://en.wikipedia.org/wiki/index.php?curid=28784965
jules michelet,jules,historian,French,1798,75,"jules michelet (; 21 august 1798 -- 9 february 1874 ) was a french historian. he was born in paris to a family with huguenot traditions. in his 1855 work, `` histoire de france '' ( history of france ), jules michelet was the first historian to use and define the word renaissance ( `` re-birth '' in french ), as a period in europe 's cultural history that represented a drastic break from the middle ages ( which he loathed ), creating a modern understanding of humanity and its place in the world. historian françois furet wrote that his '' history of the french revolution '' ( 1847 ) remains `` the cornerstone of all revolutionary historiography and is also a literary monument. '' his aphoristic style emphasized his anti-clerical republicanism.",https://en.wikipedia.org/wiki/index.php?curid=303688
edwin caine,edwin,lawyer,Australian,1873,83,"edwin james caine ( 8 september 1873 -- 26 september 1956 ) was a barrister and member of the queensland legislative assembly. caine was born at brisbane, queensland, to parents james joseph caine and his wife emily ( née wells ) and was educated at brisbane normal school and brisbane grammar school. he began his career as a solicitor, becoming a partner in bergin, caine & macrossan with the business operating from 1911 until 1924. he was called to the bar in 1913.",https://en.wikipedia.org/wiki/index.php?curid=46441614
bill veeck,bill,executive,American,1914,71,"william louis `` bill '' veeck, jr. (; february 9, 1914 -- january 2, 1986 ), also known as `` sport shirt bill '', was a native of chicago, illinois, and a franchise owner and promoter in major league baseball. veeck was at various times the owner of the cleveland indians, st. louis browns and chicago white sox. as owner and team president of the indians in 1947, veeck signed larry doby and thus successfully integrated the american league. veeck was the last owner to purchase a baseball franchise without an independent fortune, and is responsible for many innovations and contributions to baseball. finding it hard to financially compete, veeck retired after the 1980 chicago white sox season. he died of cancer six years later. he was inducted into the baseball hall of fame five years later in 1991.",https://en.wikipedia.org/wiki/index.php?curid=666087
ed rand,warren,businessperson,American,1920,79,"warren ed rand, known as ed rand ( february 4, 1920 -- march 26, 1999 ), was a democratic member of the louisiana house of representatives from alexandria, louisiana, who served a single term from 1960 to 1964 during the administration of governor jimmie davis. rand graduated from the university of louisiana at lafayette, then known as the university of southwestern louisiana in lafayette. he was a past president of the alexandria jaycees and a long-term member of the first united methodist church on jackson street in alexandria. he was engaged in the real estate and life insurance businesses in alexandria. he had a second residence on an oxbow lake of the mississippi river, lake st. john, in concordia parish in eastern louisiana. at the time rand served in the legislature, rapides parish had three at-large members of the lower house. single-member districts did not begin until 1972, with the first administration of governor edwin edwards. rand was married to the former florence marie robinson ( 1925-2005 ), and the couple had a daughter, ellen r. thrash of baton rouge, and two grandsons. they are interred at greenwood memorial park in pineville, louisiana.",https://en.wikipedia.org/wiki/index.php?curid=39845764
francisco ayala ( novelist ),francisco,novelist,Spanish,1906,103,"francisco ayala garcía-duarte ( 16 march 1906 -- 3 november 2009 ) was a spanish writer, the last representative of the generation of ' 27.",https://en.wikipedia.org/wiki/index.php?curid=2282099
henri fursy,henri,singer,French,1866,63,"henri fursy or furcy ( real name henri dreyfus, 26 february 1866 - 14 april 1929 ) was a french cabaret singer, director and lyricist.",https://en.wikipedia.org/wiki/index.php?curid=40609390
